Input,Target
"one was for two hundred thousand, one dollar and thirteen cents. another was for three hundred thousand, six hundred fifty four dollars and seventy six cents...","okay, i follow you so far..."
"okay, i follow you so far...","totalled together, these five checks from five different accounts, they equal one million dollars."
"totalled together, these five checks from five different accounts, they equal one million dollars.",you're joking.
you're joking.,to the penny.  exactly one million dollars in cash.
hello... ?,i'm here.
i'm here.,do you think the film could have cost that much?
do you think the film could have cost that much?,"for a human life... murder on film, no statute of limitations.  who knows?  it sure could have.  i'd like you to overnight me a copy of those checks, then put them in a safe deposit box."
"for a human life... murder on film, no statute of limitations.  who knows?  it sure could have.  i'd like you to overnight me a copy of those checks, then put them in a safe deposit box.",okay.
okay.,send it to me through the post office like we arranged.  no return address.  you dug this up all by yourself?
send it to me through the post office like we arranged.  no return address.  you dug this up all by yourself?,"you told me to look, so i looked."
"you told me to look, so i looked.","you're one hell of a detective, mrs. christian."
hello?,"mrs. christian, tom welles here."
"mrs. christian, tom welles here.",how are you?  having any luck?
how are you?  having any luck?,i don't know if luck's the word. are you feeling alright?
i don't know if luck's the word. are you feeling alright?,"i've been ordered into bed.  the doctor says i've gotten the flu, or some other wretched ailment."
"i've been ordered into bed.  the doctor says i've gotten the flu, or some other wretched ailment.",i hope it's nothing serious.
i hope it's nothing serious.,nothing more than a bother.  have you any news for me?
nothing more than a bother.  have you any news for me?,"i've made progress.  i'm in manhattan.  once a few more pieces fall into place, i'll drive to you and give you an update."
"i've made progress.  i'm in manhattan.  once a few more pieces fall into place, i'll drive to you and give you an update.",fine...
"i've got about five thousand left in cash, but i'll need another thirty, if you approve.",how will i get it to you?
how will i get it to you?,"if you have a pencil and paper, i'll tell you how to send it."
yes... ?,"hello, mrs. mathews, my name's thomas jones, i'm a state licensed investigator..."
"i've been hired as an independent contractor by the u.s. resource center for missing persons as part of an internal audit.  if you have any time over the next few days, i'd like to make an appointment to ask some questions about the disappearance of your daughter.","i don't understand, who are... ?"
"i don't understand, who are... ?","i'm sorry, let me explain, the r.c.m.p. is a support organization and archive, not unlike the center for missing and exploited children in washington.  i'm sure you've dealt with them before?"
"i'm sorry, let me explain, the r.c.m.p. is a support organization and archive, not unlike the center for missing and exploited children in washington.  i'm sure you've dealt with them before?","yes, but..."
"yes, but...","these volunteer organizations are sort of interconnected, functioning hand in hand with law enforcement. the r.c.m.p. brought me in to review their investigations...  ... fact-check their records, see if there's anything they missed, anything they should be doing different.  i'm here for a few days, before i head back up to virginia. these reports go to the justice department eventually.  i spoke to your f.b.i. contact a few days ago, uh..."
what was the name... ? i've got it here somewhere...,neil... neil cole.
neil... neil cole.,"right, agent cole told me he'd call and let you know to expect me.  he didn't call?"
"right, agent cole told me he'd call and let you know to expect me.  he didn't call?",no.
no.,"well, i'm following up on your daughter, mary, height; five four, weight; hundred ten pounds, brown eyes, blonde hair.  born april 24, 1976.  missing june 11th, 1992.  a runaway, that's how she's listed. is this information correct... ?"
"it's very important you don't let this raise your expectations.  it's not going to effect any ongoing efforts.  all i'm saying is, please know, i'm not here to create any false hope.","they hired you.  you're like, a private detective?"
"they hired you.  you're like, a private detective?",that's exactly what i am.
"i didn't think there were private detectives anymore, except on tv.","you probably expect me to be wearing a trench coat and a hat.  drinking whiskey, chasing women and getting beaten up by guys with broken noses. want to know what it's really like? it's sitting in a car and staring at a hotel window for three days straight, pissing in a plastic bottle, pardon me, because some guy thinks his wife's cheating on him. glamorous, huh?  and the guy who hired you, he has a hair-lip, dandruff and crooked teeth, and you could have told him the minute you laid eyes on him his wife's cheating, and you don't blame her."
"so, she didn't leave a note?  she never gave any indication where she might go, before she left?",no.
no.,she just seemed... depressed... ?
she just seemed... depressed... ?,she didn't seem herself.  for months there never was any way to get her to talk about it.  one night we went to bed... the next morning she was gone.  she took some clothes.
she didn't seem herself.  for months there never was any way to get her to talk about it.  one night we went to bed... the next morning she was gone.  she took some clothes.,what was she running from?
what was she running from?,i don't know.
i don't know.,"if there's anything you feel uncomfortable talking about, tell me, but i have to ask.  your husband... he committed suicide?"
"if there's anything you feel uncomfortable talking about, tell me, but i have to ask.  your husband... he committed suicide?",yes.
yes.,"september 4th, 1993.  about a year after mary disappeared."
"september 4th, 1993.  about a year after mary disappeared.",we were divorced by then.  things fell apart... he was living with a friend...
we were divorced by then.  things fell apart... he was living with a friend...,why do you think he did it?
why do you think he did it?,it got to be too much for him.
it got to be too much for him.,"you have to forgive me, but in these circumstances... with your daughter...  were there any indications of... any sort of abuse?"
"you have to forgive me, but in these circumstances... with your daughter...  were there any indications of... any sort of abuse?","there wasn't anything like that. the police and the fbi people asked, but there wasn't anything happened like that, never.  my husband... his heart broke when mary left..."
"there wasn't anything like that. the police and the fbi people asked, but there wasn't anything happened like that, never.  my husband... his heart broke when mary left...",i didn't mean to...
i didn't mean to...,"you try going through what we did. bob couldn't take it, that's all. christ, there's times when it still seems like i can't either."
"you try going through what we did. bob couldn't take it, that's all. christ, there's times when it still seems like i can't either.",i had to ask.  i apologize.
i had to ask.  i apologize.,no one knows what it's like.  you can't even imagine how much it hurts.
people remember me from the news.  can you drive me back now?,of course.
i... i shouldn't take anymore of your time.  maybe we can finish tomorrow.  i'll call tomorrow...,okay.
"doesn't make much sense, does it? when everything's happy, when life's fine and you have every reason to believe there's a god, you don't bother.  then, something horrible happens... that's when you start praying all the time.  that's when you start going to church.",we're all like that.
we're all like that.,are you religious?
are you religious?,no.
no.,you should be.
i've got what i need for my report. there is... there is one thing that bothers me though.,what?
what?,"it's not really my place, but it's not easy for me to set aside the private detective part of me either. see, i know a little about missing persons.  when kids run, they almost always leave a note.  it's guilt. they want to say goodbye."
"it's not really my place, but it's not easy for me to set aside the private detective part of me either. see, i know a little about missing persons.  when kids run, they almost always leave a note.  it's guilt. they want to say goodbye.",there wasn't one.  the police looked.
there wasn't one.  the police looked.,do you think the police did a good job?
do you think the police did a good job?,i don't know.  i think so.
i don't know.  i think so.,"it is possible... and i know this isn't something you want to hear. your daughter may have tried to hide a note where she thought you would eventually find it, but where she knew your husband would never find it.  she might have wanted to tell you something..."
"it is possible... and i know this isn't something you want to hear. your daughter may have tried to hide a note where she thought you would eventually find it, but where she knew your husband would never find it.  she might have wanted to tell you something...",no.  you don't have any reason to think that...
no.  you don't have any reason to think that...,"if the police focused their search in her room, her belongings, well that'd be only natural, but they may have been looking in the wrong place."
how... how can you say that to me...?,will you let me look?
will you let me look?,my husband never laid a hand on her. she would have told me... she would have told me...
my husband never laid a hand on her. she would have told me... she would have told me...,"you're probably right, and i probably won't find anything. i don't have a right to ask this, and you can kick me out of your house if you want, but this is my profession and there's a part of me that can't let it go.  police are just as human as you or i.  they could have missed something.  they probably didn't.  wouldn't you rather know?"
you were right.  i didn't find anything.  i'm going to run and get something to eat. are you hungry?,yes.
"i think about it everyday.  but, every time the phone rings... every single time, i still think it's her.",it's been six years.
it's been six years.,"what am i supposed to do?  forget her?  time heals all wounds, right?  she's all i think about, and i've learned to live with that.  but, you want the truth... the real truth? if i had a choice... if i had to choose, between her being out there, living a good life and being happy, and me not knowing; never finding out what happened to her...  ... or her being dead and me knowing...  i'd choose to know."
hello... ?,"mrs. mathews?  it's thomas.  do you remember, i was there a few weeks ago... asking about your daughter..."
"mrs. mathews?  it's thomas.  do you remember, i was there a few weeks ago... asking about your daughter...",i remember.  you just left...
i remember.  you just left...,"i have to tell you something.  it won't be easy for you to hear.  it's about your daughter... mary anne...  when i... when i was there with you, her diary, in your attic, in silverware.  if you read it, you'll know what i'm telling you is true..."
what are you talking about... ?,"she went to california, to los angeles... she wanted to start over. she wanted to be an actress..."
"she went to california, to los angeles... she wanted to start over. she wanted to be an actress...",what... ?
"mrs. mathews, your daughter is dead. she's dead.",who is this... ?
who is this... ?,"someone... some men, they took your daughter and they drugged her, and they took her to a motel room... they did terrible things to her..."
"someone... some men, they took your daughter and they drugged her, and they took her to a motel room... they did terrible things to her...",who are you?
who are you?,"they brought her into the room... one man, he put a knife to her throat and he raped her..."
"they brought her into the room... one man, he put a knife to her throat and he raped her...",no...
no...,he raped her and...and...and he murdered her...he cut her up with knifes...
he raped her and...and...and he murdered her...he cut her up with knifes...,no... no... no...
no... no... no...,"they killed her, and they took her out in the forest somewhere and they buried her..."
"they killed her, and they took her out in the forest somewhere and they buried her...",why... why are you doing this to me... ?
why... why are you doing this to me... ?,"they murdered her, mrs. mathews, i'm sorry.  it happened a month after she ran away.  she's been dead all this time..."
yes... i remember mary,"you... you do?  you're sure? please, sister, will you take another look, make sure..."
"you... you do?  you're sure? please, sister, will you take another look, make sure...",yes.  i remember her.
do you know what happened to her?,i'm trying to find out.  she was a runaway.  i'm looking into it for her parents.
what is this?,those are her belongings.
those are her belongings.,her belongings?
her belongings?,"that's her suitcase.  i had forgotten it, till you showed me her picture."
whatever possessed you to keep this all this time?,"she was the kindest, sweetest girl you'd ever want to meet.  oh, i adored her.  i supposed i always hoped she'd be back.  after a time, all i could do was pray she had moved on to better things.  can you get this suitcase to her parents, if you think it's appropriate?"
"she was the kindest, sweetest girl you'd ever want to meet.  oh, i adored her.  i supposed i always hoped she'd be back.  after a time, all i could do was pray she had moved on to better things.  can you get this suitcase to her parents, if you think it's appropriate?",i'll do what i can.
"your son-in-law dealt with the dry cleaning franchise during the day, saw that woman every night.  the specifics are in the report, and information about the woman.  it's unpleasant, i know.  i apologize...","none too discreet, is he?"
"none too discreet, is he?","no, sir, he is not."
"no, sir, he is not.","he's an imbecile.  i tried to warn my daughter, but what can you do?"
the um... you'll find my invoice in the envelope. if that's all...,"yes, mister welles, thank you."
"yes, mister welles, thank you.","certainly, senator.  if i can ever be of further assistance."
"okay, i'll take it all.",excellent.  we accept mastercard and american express.
excellent.  we accept mastercard and american express.,cash.
"alright.  may i have your phone number, area code first?","no, you may not."
"no, you may not.",okay.  fine.
"i'm required by state law to inform you that, while it's perfectly legal for you to purchase these items, it is illegal for you to use them for any sort of...","yeah, i know the spiel.  if you could bag it, i'll be on my way, thank you."
"yeah, i know the spiel.  if you could bag it, i'll be on my way, thank you.","certainly, sir."
don't you think it kind of defeats the purpose?,what?
what?,the mirror.  you can't see yourself in it.
the mirror.  you can't see yourself in it.,i don't want to.
yeah.  she'd be half as strict as you.,but she wouldn't let dad treat me like that.
but she wouldn't let dad treat me like that.,"look, you gotta stand up for yourself. learn to fight back."
rick...i can't.,never say can't.  just do what i do.
"alice, you think you can leave?",what's wrong?
what's wrong?,kincaid and joey died last night.
kincaid and joey died last night.,what?
you alright?,kristen...
i heard you screaming.  was it a bad one?,it was bad.
it was bad.,doesn't the dream master work for you anymore?
doesn't the dream master work for you anymore?,i can't find him.
"hey, since when do you play thomas edison?  this looks like sheila's.","it is...was. it's a zapper, it might help me stay awake."
"it is...was. it's a zapper, it might help me stay awake.","yeah, or turn you into toast."
i can't go back to sleep again.,i haven't slept much either.  since kristen...
we'll figure it out.,figure it out?!?!  i'll be insane before i figure it out.  the only thing i'm sure of is that i can't go to sleep.  not while he's using me.
figure it out?!?!  i'll be insane before i figure it out.  the only thing i'm sure of is that i can't go to sleep.  not while he's using me.,then we'll stay up together.
here you are.  where were you this morning?  rick's looking all over for you.,"have you seen joey and kincaid!  god, i can't find them.  i can't find them anywhere."
"have you seen joey and kincaid!  god, i can't find them.  i can't find them anywhere.",i'm sure they're around.
i'm sure they're around.,"yeah, i'm not so sure."
"i love to dream, i just hate ones about my dad.",you could do worse.
my mom taught me when i was little.  did you ever hear of the dream master?,sounds like a game show host to me.
sounds like a game show host to me.,"no really, it's a fable.  the 'guardian of good' dreams.  it was like my teddy bear when i was growing up."
"no really, it's a fable.  the 'guardian of good' dreams.  it was like my teddy bear when i was growing up.","great, you wouldn't happen to know his phone number?"
i daydream.  you have to dream about some place fun.  remember you're in control.,how'd you learn so much about dreams?
how'd you learn so much about dreams?,"when they're all you have, you kinda become an expert."
you what?,when i used to have nightmares.  i brought my friends in to help me.  until they all started dying.
"kristen, what happened?","you'll hear all kinds of stories. they'll tell you it was murder, but it wasn't."
you in a hurry?,i gotta get to the library before it closes.  killer physics test.
i gotta get to the library before it closes.  killer physics test.,i know.  i hardly have any time to study.
i know.  i hardly have any time to study.,maybe you shouldn't be working here so much.  you don't want to get stuck waiting tables for the rest of your life.
maybe you shouldn't be working here so much.  you don't want to get stuck waiting tables for the rest of your life.,i know.
"ohhhhbaby, i am dead on my feet.",we have matching luggage.
we have matching luggage.,what?
you've been up all night?,"that obvious, huh?"
"that obvious, huh?","then you saw him, too?"
"then you saw him, too?","saw who? i was up all night cramming for this physics test, and i was putting this little baby together.  look..."
no...,"you're his sister, right?"
"you're his sister, right?",rick stayed later after school with kristen.  she wasn't feeling very well.
rick stayed later after school with kristen.  she wasn't feeling very well.,"tell him i was looking for him, okay?  i'm dan."
"tell him i was looking for him, okay?  i'm dan.",i know.  uh...alice.
i thought it was an accident.  smoking in bed.,"it was no suicide.  it was not an accident.  it was freddy, and he's coming back for seconds, thirds, and fourths."
i was there in the dream.  he took her. it was awful.  it was awful...,in her dream?
"no, don't!  i gave sheila to him and now she's dead!",kristen's story really got to her.
i've been working double shifts.,"extra money, huh?"
"extra money, huh?","look, you know why, you just don't believe me."
"no offense, or anything, but it's kind of hard to swallow.","the story is, the deaths you can't argue with."
how long have you been awake?,three days.
"alright, let's assume this whole thing is true. why does freddy all of a sudden need you?",kristen was the last child left of the people who killed freddy.  maybe freddy can't get to new kids without someone like me.  someone to bring them to him.
not really.,is there something we can do?
is there something we can do?,i don't think so.  i guess this is my own war.
you don't really get it.  he's not a nightstalker.  it'll take more than bench presses to beat him.,why can't we just talk to the authorities?
why can't we just talk to the authorities?,"yeah, right.  let's trade death by freddy for life in a rubber room.  adults won't see it. they can't."
"yeah, right.  let's trade death by freddy for life in a rubber room.  adults won't see it. they can't.",then what else can we do?
then what else can we do?,try what other kids did.  keep each other awake.  we'll meet at debbie's tonight. at least if we don't sleep he can't get us.
try what other kids did.  keep each other awake.  we'll meet at debbie's tonight. at least if we don't sleep he can't get us.,who?
"he's going after debbie, i gotta stop him.","hey, you're not alone.  we have to stop him, i'm with you."
"hey, you're not alone.  we have to stop him, i'm with you.",you just feel sorry for me.
you just feel sorry for me.,"cut that shit out.  maybe before, but not now. i want to help you. i'm on your side."
as long as your driving doesn't kill us.,"it's okay, we're just about there."
he's going after debbie.  i gotta stop him.,"you know, i get the weirdest feeling we've been through this before."
here we are.,something's wrong here.  it feels like...
what the hell was that?,"debbie.  she's gone.  i've...collected her, like the others."
you look great!,save it for later.  come on!
"rick, please.","alright, i think i see salvation..."
i think sheila's more interested in dissecting bodies than just admiring them.,give her time.  beauty is skin deep.
asthma attack...what 17-year old has a fatal asthma attack?  she was gonna be a doctor.,it was freddy.
it was freddy.,enough of that crap.
enough of that crap.,i saw it. it was my dream.  i brought sheila in...
t-t-thanks alice...,earth to alice...
"hey, rick!","excuse me, ladies.  i'll just be a moment."
i don't get it.,let me talk to you.
so what's up?  what'd i miss?,she told us the story of freddy.  it's a town legend.  he was a child killer who was freed on a technicality.
she told us the story of freddy.  it's a town legend.  he was a child killer who was freed on a technicality.,so?
so?,"it pissed off a lot of parents. according to kristen, they hunted him down; roasted him alive."
"it pissed off a lot of parents. according to kristen, they hunted him down; roasted him alive.",nice neighborhood.
nice neighborhood.,"now it gets weird.  she says he comes back in dreams.  if he kills you there, you're dead for real."
"hey man, we're all sorry...",she knew she was gonna die.
been up with alice.,how she doing?  i ran into her last night.
how she doing?  i ran into her last night.,"she's blaming herself for sheila.  i know how it feels.  i've been thinking about kristen.  maybe i could've stopped it, if i'd listened."
"she's blaming herself for sheila.  i know how it feels.  i've been thinking about kristen.  maybe i could've stopped it, if i'd listened.",about freddy?
about freddy?,"what else?  you ever look over this town's history?  not a safe place to be a teenager.  anyway, if i'm next, watch your back."
something the matter with the cuisine?,"well mom, i'll tell ya, when two of your friends die the same day, you let me know what it does to your appetite."
"well mom, i'll tell ya, when two of your friends die the same day, you let me know what it does to your appetite.","you're just tired.  don't think i haven't noticed your not sleeping.  that has to stop, honey."
what's wrong with me?,your distraught.  it'll help...
"i'm sorry honey, but...","sorry!! sorry that you and your tennis pals torched this guy who's now after me. in case you haven't been keeping score, it's his fucking banquet, and i'm the last course!!"
"sorry!! sorry that you and your tennis pals torched this guy who's now after me. in case you haven't been keeping score, it's his fucking banquet, and i'm the last course!!","honey, we went over this in therapy."
"honey, we went over this in therapy.","mother, you've just murdered me.  take that to your goddamn therapy..."
something wrong with the stairs?,avoid-all-contact-day.
avoid-all-contact-day.,what?
what?,"when dad's popping aspiring like popcorn, it's avoid-all-contact-day."
what is it?,oh god!  he killed them!
now you know who and what freddy really is.,i though freddy was just an old town story.
i though freddy was just an old town story.,it's no story.  it happened.  freddy's real and he's back.
i'll tell you later.,it's no just a house. it's his home. he's waiting there for me...to dream.
it's no just a house. it's his home. he's waiting there for me...to dream.,"it's okay, babe.  we're with you."
"it's okay, babe.  we're with you.",i told you you can't help.  this isn't a normal nightmare. i'm doomed.
feeling better now?,yeah.  i guess so... what happened?
yeah.  i guess so... what happened?,you had a nasty bump.
i gotta get out of here.,you just stay put.  you need rest.
you just stay put.  you need rest.,"you don't get it, he's after me..."
"you don't get it, he's after me...","don't worry, honey"
"excuse us, dear.","it's okay, dan"
"frankly, dear, we wondered what you intend to do with our baby?","what i what?  well, i've thought about it.  i plan to keep him."
"look, i appreciate what you're offering, but no.  he is my responsibility.",and ours.  it's our grandchild.
"in your present condition, alice, we're worried about your ability --","what are you talking about?  my ""condition""?..."
we know you've been through a lot but there's more than your feelings at stake here.,you're not taking my baby!
hey...wake up.,huh?
"shouldn't you be in your room, jacob?","it's lonely in there, in my room."
"it's lonely in there, in my room.",my name is...
i'm sorry your boyfriend got killed.,how did you know that?
how did you know that?,i could tell you were sad.  i just wanted to see if you were all right.
"hi, you don't look very well.  are you feeling all right?",been having bad dreams.
is that who you're waiting for?,no...
i don't think this is a nice place for you to be.  maybe we should go find your mom.,she doesn't want me around
she doesn't want me around,oh...i'm sure that's not true.  i'll bet she's very worried about you.  i would be.
no you're not.  you don't even care about being a mom.  how come you don't think about me?,"who said i...wait, what?"
who says i don't like you?,"my friend, with the funny hand."
mommy...?,come on downstairs.  he won't hurt you. he needs us both.
where is he?,"he's inside you, where he hides."
what do you mean?,it's where he hides out.  inside.  that's how he found me.
but how...?,he says it's easy.  especially with sad people.  with closed-off people.
"hi, beautiful.",jesus!  don't do that!
jesus!  don't do that!,"sorry, babe."
the tickets.,"they're coach seats, but the plane lands in paris.  it's gonna be a helluva summer, hon!"
"they're coach seats, but the plane lands in paris.  it's gonna be a helluva summer, hon!",i know.
"okay, babe.  what's the matter?",nothing...it's just...i didn't see my father at the ceremony.
nothing...it's just...i didn't see my father at the ceremony.,"he'll show up.  c'mon, what's really wrong?"
about him?,"no.  well, not exactly...it's that...i felt like i wasn't in control.  for the first time since...all that.  i'm scared."
you stopped it didn't you?  it was probably just a regular bad dream.,yeah...i guess.
yeah...i guess.,"you don't dream him up, he can't hurt you.  or me.  or us.  remember..."
"you don't dream him up, he can't hurt you.  or me.  or us.  remember...",you're right.
you're right.,there you go.  love you.
there you go.  love you.,me too.
i was afraid you weren't coming.,"i watched from behind the stands.  didn't want to embarrass you, ya know.  ""the drunk showed up"", that kind of thing..."
"i watched from behind the stands.  didn't want to embarrass you, ya know.  ""the drunk showed up"", that kind of thing...",that's in the past.  unless you've stopped going to the meetings.
that's in the past.  unless you've stopped going to the meetings.,no.  a deal's a deal.
dad!,it's the model you've been saving up for. i wanted you to have it for your trip.
where are we going?,to take a picture.
"thanks for everything, dad.",you sure you don't want a ride to work?
you sure you don't want a ride to work?,it's just across the park.
"i'm so sorry, honey...","daddy, he's coming back...krueger's coming back.  make them understand."
how was the meeting?,sobering...
sobering...,very funny.
very funny.,alice...
alice...,since when are you such a smart shopper?
since when are you such a smart shopper?,since my little girl became a mom...
since my little girl became a mom...,you disappointed in me?
you disappointed in me?,"no, i'm not.  i sort of hope it's a boy. be nice to have a boy playing in the house again."
alice!,i've got to go.
i've got to go.,no!  i won't have you running around in the middle of the night.  you're coming home.
no!  i won't have you running around in the middle of the night.  you're coming home.,but dad --
but dad --,now.
"hey, what's wrong with you -- let's see a smile.",had kind of a long night.
had kind of a long night.,"dan keeping you up again?  put a lock on that window, girl."
"dan keeping you up again?  put a lock on that window, girl.","no, the dan part was nice..."
"good to see you again, mr. grey.  i've got to go find dan.","yeah, before they revoke his diploma."
"it was no accident.  it was krueger.  he used to get in through my dreams, but not anymore.  he's found some other way.","alice, it's no dream.  i'm sorry...dan's dead."
"have you visited the little boy on my floor?  jacob, the one who looks kind of sad?",there aren't any little boys on your floor.
there aren't any little boys on your floor.,he must've wandered up from the children's ward.  i just wondered what was wrong with him.
did everyone call everyone?,they're waiting for us...but let's keep this dream stuff between you and me.
what's that got to do with it?,when dan died you weren't even asleep. you said so.  end of story.
it was just an accident.  like with dan.,no accident.  i tried to warn all of you about krueger.
"i don't understand what's happening. krueger has to use my dreams, but he got to dan and greta while i was awake. how's he doing it?",why don't you two stick to reality.
you had me scared on the phone.  what's wrong with the baby?,i think krueger's trying to do something to it.
"oh, alice...no.  honey, i love you but you're going to have to get a hold of yourself...",mark knows i'm not crazy.  ask him to show you his hands.
"i really think you need to calm down now, okay?",i just can't figure out how he's getting in when i'm awake...
"i am your friend, and i'm worried sick about you.  but, you're like a locked safe.  you've gotta start dealing with reality.",krueger is reality.
krueger is reality.,and so is your baby.  you've got more than just yourself to think of now!
and so is your baby.  you've got more than just yourself to think of now!,"what do you think i'm doing?  look.  whether you believe it or not, krueger is back.  he's after the baby and if i don't try to do something about it, who will??"
all i know is that you are not doing yourself or the baby any good by acting like a crazy woman.  why don't you take off - leave springwood and cool out somewhere for a while?,"goddamn it, yvonne!  you don't just run away from this guy!  he finds you in your dreams."
look...we're all tired.  none of us had any sleep since friday night...,that's the only reason you're alive...
are you alright?,yeah...so that's him.  and you're not crazy.
you think that's the place she's buried?,if they actually bothered to bury her.
what?,jacob.  we've got to get to amanda before it's too late.
but how are we gonna --,we've got to go to the asylum and find her body.  mark said her soul's trapped with it -- that's why she can't come to me.  it must be!
"you do good work, alice.",so did dan.
he sure loves to stay awake.,that's okay.  he's got the rest of his life to catch up on his sleep.
"give up, mark, it's hopeless.",i think i'm starting to wear her down.  have some anyway.
not to mention the heartbreak of psoriasis.,"greta, come on.  one burger with me?"
my dad's got this thing about drinking in the house.,well we gotta do something!
i've got to write some of this down.,that's why it's my fault dan's dead.
"mark, are you okay?",yeah.  i'm just aces.
i want to talk to both you guys about greta.  and...,"i'm very fucking sorry, but greta is dead today.  could we interest you in someone else?"
i thought about that.,she must've fallen asleep at the table...
then get out!,mark!
do you think i'm an idiot...for being in love with her?,nobody thinks that.
"maybe it was her mother who killed her, with all that polly perfect shit.",it wasn't her mother.  the only reason we're still here is that none of us has slept since the grad party.
tell me some more about this krueger guy.,why don't i go make some coffee.  there's a lot to tell.
who's jacob?,my baby!
my baby!,"what, you named it already?"
"whoa, slow down.  how're you gonna hide from a guy like that, leave the planet?",i don't know!
where are you going?,i'm going to see what else i can find out about mr. fred krueger
"i couldn't do that, mark.  he's my last link with dan...no, i want him.",then we'll find another way.
they think i'm nuts.,that's their problem.
"no, it's our problem, mark.  if i don't deal with this, they really might try to take jacob.  you said she committed suicide?","that's what the newspapers thought.  she spent the rest of her life in the asylum. after krueger's trial she flipped out and hung herself, so they thought."
"that's what the newspapers thought.  she spent the rest of her life in the asylum. after krueger's trial she flipped out and hung herself, so they thought.",meaning?
they couldn't prove it.  no body!  nuns bumping themselves off is bad for business.,but i've seen her grave.
but i've seen her grave.,"empty plot.  memorial stone.  vacant. they never did put her under.  cool, huh?"
poor woman...,no shit.
i don't understand.,she killed herself.  her soul's gonna be in torment.
"yeah, when are you gonna come to your senses?","next life.  oh, what's that?"
"next life.  oh, what's that?",my undying love.  have some.
meet me later.  milkshakes.  cherry pie. banana splits.  and no mom!,"pimples, heartburn, cellulite... and no modeling career."
"that club sucks, they card everybody. let's just party at your place.",you know my mother -- get real.  what about alice's?
he's right.  sometimes i feel like i'm living with melicertes.,who?
who?,"oh, he was this ancient guy i read about who like, killed his kids 'cause they didn't want to run the kingdom the way he thought they should."
oh man!  i could've gone all night without looking at that.,i don't believe this... all that gore you paint in the comics and you're squeamish?
these things are wild...  what do you think?,makes you look like a nun--
"all right kids, i tell you what we're gonna do.  i've got swimming practice until six-thirty today...",yeah...
yeah...,that means they're gonna give me the key to the pool so i can lock up when i'm done.
"have another one, sounds like you need it.","naah, i'm done.  got to be on shift in a couple hours.  aren't you going in?"
"naah, i'm done.  got to be on shift in a couple hours.  aren't you going in?","nah.  it's getting too cold for me, and my wonderful mother will kill me if i screw up my hair.  she's got some model agency guy coming to dinner tomorrow night."
"stop saying that, it's bullshit.",i want to talk about the baby.
look.  dan's parents were pushing him. pushing him hard.  he was bitching about it at the party last night.  he was under pressure.  we all are.,pushy parents can make you more than a bit crazy.
"bottom line, alice.  anybody, supernatural or not, that wants to hurt you - he'll have to go through us first.",all of us.  right?
dan.  and he's taking alice with him -- pretty good dive yvonne.  you've been practicing.,"two hours a day, six days a week."
vomit?,faint.
"why don't you shut up and let her talk! two of us died in the last two days, does that strike you as particularly normal?!",mark...
mark...,"i'm not finished - i loved greta.  a lot. and if maybe, just maybe, someone or some thing killed her, i'd like to hear about it!"
"i'm not finished - i loved greta.  a lot. and if maybe, just maybe, someone or some thing killed her, i'd like to hear about it!",i can't listen to this.
it's okay.,"stick around, please?"
"you, too?",he invited me to his house last night.
"i should have suspectcd, when i heard that 'doctor.'  i thought it was your father.","it was supposed to be.  dad had a heart attack, two days ago."
"it was supposed to be.  dad had a heart attack, two days ago.",how is he - ?
how is he - ?,"it was moderate.  he'll be all right.  but it was out of the question, his coming along."
"it was moderate.  he'll be all right.  but it was out of the question, his coming along.",and they thought <u>you</u> could re- place the skipper?
you could train someone else.,not in two days.  look:  do you think i <u>wanted</u> to come?  if it didn't mean so much to dad - proving his depth-explorer - it's the last thing i'd want!
what is it?,your 'out.'  this came for you.
your 'out.'  this came for you.,my father!  he's not - ?
my father!  he's not - ?,"dead?  matter of fact, he's much better. he's left the hospital."
what did you mean:  i'm 'out?',"your father can be in nome, alaska, tomorrow.  we have two choices: ask them to send him out in a 'copter', and take you off, or the shark can put back into nome..."
"you 'trade school boys' are all alike, aren't you?  anybody who doesn't happen to think like a little gold-braided puppet is, ipso facto, a coward!",<u>you</u> said it.  but i won't argue -
"wearing a uniform doesn't bestow an automatic monopoly on courage, <u>commander</u>!  it just so happens i'm <u>not</u> a coward - physical or mental - and before i'd risk my father's life...",we're <u>all</u> risking our lives!
we're <u>all</u> risking our lives!,"that may be.  but dad stays where <u>he</u> is, and i'm staying here!"
"that may be.  but dad stays where <u>he</u> is, and i'm staying here!","you're really a mixed-up oddball, aren't you?"
"you're really a mixed-up oddball, aren't you?",perhaps.  but the idea of willingly going to <u>school</u> to spend my <u>life</u> at a paleozoic pastime that should have disappeared with the thunder-lizards - i'm referring to war - <u>that</u> strikes me as the <u>worst</u> cowardice of all - being spiritually yellow!
perhaps.  but the idea of willingly going to <u>school</u> to spend my <u>life</u> at a paleozoic pastime that should have disappeared with the thunder-lizards - i'm referring to war - <u>that</u> strikes me as the <u>worst</u> cowardice of all - being spiritually yellow!,you mean <u>nothing</u> is worth fighting for?
you mean <u>nothing</u> is worth fighting for?,"peace - the dignity of man - the destiny of the human spirit!  show me a man who says you win <u>those</u> by fighting wars, and <u>i'll</u> show you an idiot!"
